,Sens1,Sens2,Sens3,Sens4,Sens5,Sens6,Sens7,Sens8,Sens9,Sens10,Sens11,Sens12,Sens13,Sens14,Sens15,Sens16,Sens17,Sens18,Sens19,Sens20,Sens21
z_inv_base,8.333333333,16.66666667,7.575757576,7.575757576,7.575757576,7.575757576,7.575757576,7.575757576,7.575757576,7.575757576,7.575757576,7.575757576,7.575757576,16.66666667,6.666666663,6.666666663,6.666666663,5.555555556,50,13.33333333,13.33333333
thetaL_BL,8.333333333,7.575757576,16.66666667,7.575757576,7.575757576,7.575757576,7.575757576,7.575757576,7.575757576,7.575757576,7.575757576,7.575757576,7.575757576,6.666666663,6.666666663,6.666666663,6.666666663,5.555555556,0,6.666666667,6.666666667
thetaL_jump,8.333333333,7.575757576,7.575757576,16.66666667,7.575757576,7.575757576,7.575757576,7.575757576,7.575757576,7.575757576,7.575757576,7.575757576,7.575757576,6.666666663,16.66666667,16.66666667,6.666666663,16.66666667,0,13.33333333,13.33333333
qT_3km,8.333333333,7.575757576,7.575757576,7.575757576,16.66666667,7.575757576,7.575757576,7.575757576,7.575757576,7.575757576,7.575757576,7.575757576,7.575757576,6.666666663,16.66666667,6.666666663,16.66666667,16.66666667,0,6.666666667,6.666666667
LCL_srf,8.333333333,7.575757576,7.575757576,7.575757576,7.575757576,16.66666667,7.575757576,7.575757576,7.575757576,7.575757576,7.575757576,7.575757576,7.575757576,6.666666663,6.666666663,6.666666663,6.666666663,5.555555556,0,6.666666667,6.666666667
instant_u,8.333333333,7.575757576,7.575757576,7.575757576,7.575757576,7.575757576,16.66666667,7.575757576,7.575757576,7.575757576,7.575757576,7.575757576,7.575757576,16.6666667,6.666666663,6.666666663,6.666666663,5.555555556,50,6.666666667,6.666666667
instant_v,8.333333333,7.575757576,7.575757576,7.575757576,7.575757576,7.575757576,7.575757576,16.66666667,7.575757576,7.575757576,7.575757576,7.575757576,7.575757576,6.666666663,6.666666663,6.666666663,6.666666663,5.555555556,0,6.666666667,6.666666667
SST_instant,8.333333333,7.575757576,7.575757576,7.575757576,7.575757576,7.575757576,7.575757576,7.575757576,16.66666667,7.575757576,7.575757576,7.575757576,7.575757576,6.666666663,6.666666663,6.666666663,6.666666663,5.555555556,0,6.666666667,6.666666667
Ocean_lcc,8.333333333,7.575757576,7.575757576,7.575757576,7.575757576,7.575757576,7.575757576,7.575757576,7.575757576,16.66666667,7.575757576,7.575757576,7.575757576,6.666666663,6.666666663,6.666666663,6.666666663,5.555555556,0,13.33333333,6.666666667
Zone1_lcc,8.333333333,7.575757576,7.575757576,7.575757576,7.575757576,7.575757576,7.575757576,7.575757576,7.575757576,7.575757576,16.66666667,7.575757576,7.575757576,6.666666663,6.666666663,16.66666667,16.66666667,16.66666667,0,6.666666667,13.33333333
Zone2_lcc,8.333333333,7.575757576,7.575757576,7.575757576,7.575757576,7.575757576,7.575757576,7.575757576,7.575757576,7.575757576,7.575757576,16.66666667,7.575757576,6.666666663,6.666666663,6.666666663,6.666666663,5.555555556,0,6.666666667,6.666666667
Zone3_lcc,8.333333333,7.575757576,7.575757576,7.575757576,7.575757576,7.575757576,7.575757576,7.575757576,7.575757576,7.575757576,7.575757576,7.575757576,16.66666667,6.666666663,6.666666663,6.666666663,6.666666663,5.555555556,0,6.666666667,6.666666667